"Compound_Name"	"X16NAVY08_2_plasma.mzML"	"X16NAVY06_1_plasma.mzML"	"X16NAVY08_5_plasma.mzML"	"X394_Plasma.mzML"	"X16NAVY08_9_plasma.mzML"	"X16NAVY12_2_plasma.mzML"	"X16NAVY14_9_plasma.mzML"	"X16NAVY14_18_plasma.mzML"	"X16NAVY06_2_plasma.mzML"	"X326_Plasma.mzML"	"X16NAVY14_1_plasma.mzML"	"X16NAVY14_3_plasma.mzML"	"X18NAVY28_7_plasma.mzML"	"X16NAVY11_6_plasma.mzML"	"X18NAVY28_1_plasma.mzML"	"X16NAVY10_20_plasma.mzML"	"X15NAVY01_1_plasma.mzML"	"X513_Plasma.mzML"	"X16NAVY14_2_plasma.mzML"	"X16NAVY10_14_plasma.mzML"	"X16NAVY06_7_plasma.mzML"	"X16NAVY12_1_plasma.mzML"	"X18NAVY28_10_plasma.mzML"	"X16NAVY12_10_plasma.mzML"	"X16NAVY06_12_plasma.mzML"	"X494_Plasma.mzML"	"X16NAVY11_5_plasma.mzML"	"X16NAVY14_14_plasma.mzML"	"X16NAVY10_15_plasma.mzML"	"X16NAVY14_15_plasma.mzML"	"X366_Plasma.mzML"	"X358_Plasma_20191118040504.mzML"	"X16NAVY10_10_plasma.mzML"	"X16NAVY06_13_plasma.mzML"	"X16NAVY14_8_plasma.mzML"	"X16NAVY10_13_plasma.mzML"	"X16NAVY14_17_plasma.mzML"	"X16NAVY06_16_plasma.mzML"	"X432_Plasma.mzML"	"X487_Plasma.mzML"	"X16NAVY10_1_plasma.mzML"	"X16NAVY11_10_plasma.mzML"	"X17NAVY22_17_plasma.mzML"	"X15NAVY01_2_plasma.mzML"	"X17NAVY22_4_plasma.mzML"	"X16NAVY06_15_plasma.mzML"	"X16NAVY11_8_plasma.mzML"	"X16NAVY10_17_plasma.mzML"	"X16NAVY10_12_plasma.mzML"	"X17NAVY22_15_plasma.mzML"	"X16NAVY06_14_plasma.mzML"	"X16NAVY11_7_plasma.mzML"	"X16NAVY10_9_plasma.mzML"	"X16NAVY06_8_plasma.mzML"	"X16NAVY11_4_plasma.mzML"	"X16NAVY08_10_plasma.mzML"	"X16NAVY10_6_plasma.mzML"	"X16NAVY08_6_plasma.mzML"	"X16NAVY04_14_plasma.mzML"	"X18NAVY28_4_plasma.mzML"	"X17NAVY22_10_plasma.mzML"	"X18NAVY28_15_plasma.mzML"	"X16NAVY12_4_plasma.mzML"	"X18NAVY28_11_plasma.mzML"	"X17NAVY22_2_plasma.mzML"	"X16NAVY14_13_plasma.mzML"	"X17NAVY22_16_plasma.mzML"	"X428_Plasma.mzML"	"X15NAVY01_10_plasma.mzML"	"X16NAVY10_3_plasma.mzML"	"X17NAVY22_1_plasma.mzML"	"X17NAVY22_8_plasma.mzML"	"X364_Plasma_20191118044522.mzML"	"X412_Plasma.mzML"	"X16NAVY08_20_plasma.mzML"	"X16NAVY10_8_plasma.mzML"	"X15NAVY01_6_plasma.mzML"	"X16NAVY06_17_plasma.mzML"	"X16NAVY08_8_plasma.mzML"	"X16NAVY14_20_plasma.mzML"	"X16NAVY08_3_plasma.mzML"	"X18NAVY28_3_plasma.mzML"	"X16NAVY06_19_plasma.mzML"	"X17NAVY22_14_plasma.mzML"	"X346_Plasma_20191118022730.mzML"	"X16NAVY06_10_plasma.mzML"	"X16NAVY10_4_plasma.mzML"	"X16NAVY06_11_plasma.mzML"	"X16NAVY11_20_plasma.mzML"	"X15NAVY01_9_plasma.mzML"	"X16NAVY14_12_plasma.mzML"	"X400_Plasma.mzML"	"X16NAVY14_7_plasma.mzML"	"X16NAVY11_17_plasma.mzML"	"X15NAVY01_8_plasma.mzML"	"X16NAVY06_5_plasma.mzML"	"X18NAVY28_17_plasma.mzML"	"X17NAVY22_5_plasma.mzML"	"X16NAVY08_4_plasma.mzML"	"X18NAVY28_14_plasma.mzML"	"X16NAVY11_14_plasma.mzML"	"X16NAVY11_13_plasma.mzML"	"X16NAVY11_3_plasma.mzML"	"X18NAVY28_5_plasma.mzML"	"X17NAVY22_6_plasma.mzML"	"X16NAVY11_11_plasma.mzML"	"X338_Plasma.mzML"	"X16NAVY10_5_plasma.mzML"	"X372_Plasma.mzML"	"X16NAVY14_4_plasma.mzML"	"X18NAVY28_12_plasma.mzML"	"X16NAVY14_6_plasma.mzML"	"X16NAVY14_10_plasma.mzML"	"X470_Plasma.mzML"	"X382_Plasma_20191118052912.mzML"	"X16NAVY10_7_plasma.mzML"	"X16NAVY08_11_plasma.mzML"	"X16NAVY06_18_plasma.mzML"	"X500_Plasma.mzML"	"X16NAVY10_2_plasma.mzML"	"X354_Plasma_20191118032114.mzML"	"X16NAVY14_5_plasma.mzML"	"X15NAVY01_4_plasma.mzML"	"X18NAVY28_18_plasma.mzML"	"X18NAVY28_20_plasma.mzML"	"X17NAVY22_9_plasma.mzML"	"X16NAVY11_12_plasma.mzML"	"X15NAVY01_3_plasma.mzML"	"X16NAVY10_18_plasma.mzML"	"X16NAVY06_20_plasma.mzML"	"X16NAVY06_4_plasma.mzML"	"X16NAVY06_9_plasma.mzML"	"X18NAVY28_16_plasma.mzML"	"X18NAVY28_2_plasma.mzML"	"X16NAVY10_11_plasma.mzML"	"X16NAVY11_2_plasma.mzML"	"X17NAVY22_11_plasma.mzML"	"X16NAVY08_7_plasma.mzML"	"X16NAVY14_11_plasma.mzML"	"X16NAVY11_9_plasma.mzML"	"X16NAVY11_1_plasma.mzML"	"X16NAVY12_3_plasma.mzML"	"X17NAVY22_7_plasma.mzML"	"X16NAVY06_6_plasma.mzML"
"glycodeoxycholic acid"	336033	1831083	1109821	1028560	1113724	235589	966388	913537	589903	978908	836976	1204620	505221	771395	112647	3392795	332500	1706667	1047930	2248800	1974440	1862682	642807	0	1196654	911546	2875940	1056837	1814697	1287513	1532038	2404202	3153805	668190	1140620	10300515	2464907	1482179	1675233	2835204	1185485	0	953778	765397	709225	839264	16783300	7065031	3022871	454107	685257	34263100	3070084	844725	1691676	712280	1001635	967446	1682785	242973	1971510	5269200	4460972	0	869868	437507	313616	1531060	2803880	1391277	0	492711	1591138	3420052	1574533	1912343	564354	510313	593964	3698028	1489080	196396	432370	636515	1712120	2718239	2256210	341514	5265700	331180	1421352	1471465	1322795	4017910	1465530	394004	224412	397846	870216	282810	1636112	6782755	1503177	740090	1467233	5087610	656065	705528	1912579	915525	1719720	947551	1065064	2393800	1521910	2885022	388224	893297	1225590	1322453	2349191	1064487	0	480802	405366	1144985	2029592	3397817	486011	365944	694927	760553	3094900	421461	821394	719104	427714	2030250	463300	354986	1819190	1972650	1387573	293436
"Cholic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1780240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2396640	0	0	0	1545060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2589870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1126860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glycocholic acid"	0	578636	0	934119	0	0	0	0	1136800	0	403638	1027510	0	0	390262	247623	1250180	728334	0	0	762693	0	0	0	952113	0	0	0	0	0	0	743429	0	926014	0	0	0	1226070	0	902049	0	0	0	131613	0	1071510	926663	0	336265	0	0	0	0	0	0	0	0	0	0	548305	0	0	0	0	0	0	226026	0	2022200	0	0	0	693829	933518	0	0	409309	1615920	0	0	499628	375602	1117010	0	678382	1661020	0	0	0	0	0	0	0	0	902848	1870410	0	0	0	583693	0	1080530	0	0	0	0	0	0	0	0	0	0	727004	913112	1377220	281534	0	0	1096030	0	905529	295791	0	0	831635	213529	0	151411	0	690810	498332	338937	0	0	0	0	0	0	0	0	0	1375510	0	1736610
"7alpha-hydroxy-3-oxo-4-cholestenoic acid"	842009	309929	0	940430	0	235004	0	0	448564	743349	421598	0	0	743391	0	0	179442	807450	504824	871714	407353	0	0	0	363741	1727580	236012	766534	0	1128120	609140	903840	0	0	0	0	269015	333624	804159	2264920	632864	0	229211	549573	852235	572211	0	0	0	0	0	0	0	795286	0	0	575319	1177110	0	0	781421	297967	0	0	0	176947	0	0	0	362310	0	178654	657230	714746	0	663046	0	289272	1131330	0	996061	0	0	0	1829400	0	0	242803	0	0	0	1069970	361415	0	0	461079	0	0	0	0	188830	0	0	0	0	381711	539470	743084	703744	792636	0	0	393538	919374	1392280	0	0	467522	0	0	1016920	555101	0	0	0	0	535047	0	0	473923	0	321566	0	0	0	0	0	0	944987	286630	194884	0	300383	392119
"GLYCOCHENODEOXYCHOLATE"	1018630	860567	0	779418	615543	793295	1072620	616217	829456	1890945	304660	2562820	0	2865340	612141	801946	2550997	1580010	2917679	0	1402700	656284	160292	0	1407360	0	1198580	0	0	428158	1679968	1200610	2421772	1020240	741033	3051860	1059550	2150610	0	599902	443581	0	1096340	2595190	739394	1126030	2340490	2413820	606613	877047	0	7044780	377542	733202	1568670	0	0	0	551415	620934	427365	4831080	1938775	1928350	2139744	757706	0	2009277	5156360	224471	0	1052100	1220760	3893520	304277	0	783751	2632800	891075	4148790	1038560	0	556623	742289	2882060	3543360	0	0	3139490	665882	0	0	1412585	2023120	322725	2492883	2420289	1881350	0	996225	1423290	2269210	1621120	2386580	2046259	919097	954054	0	1706990	0	3517499	3028570	1272610	2421400	3199536	1038680	0	673854	3045570	437495	2346810	0	694929	0	1164089	684806	809825	0	0	2093560	0	1193610	2445429	2535320	0	2730310	0	1444900	601883	6410350	706677	2960172	581167	2413422
"glycocholic acid"	0	0	0	913162	0	0	0	0	0	0	0	0	0	0	0	0	411568	0	0	0	0	0	696083	0	0	0	621496	0	0	0	0	0	0	0	0	592400	0	573295	0	2057330	0	0	0	0	0	0	0	0	0	0	0	1036360	0	0	770136	0	0	0	0	0	0	630174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710809	0	799881	0	0	0	0	0	0	0	0	0	0	767766	0	0	0	0	722607	0	931816	0	0	1046630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glycoursodeoxycholic acid"	0	0	0	0	0	155988	302101	451288	0	0	220277	401232	0	0	0	495512	0	0	451238	0	0	502606	0	0	0	0	0	0	0	431602	0	0	0	0	0	398186	0	0	0	2836930	242972	0	0	0	0	0	0	421935	362573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162090	2113270	0	0	0	596661	1601725	0	0	2838340	0	0	606917	0	0	0	0	1593097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309991	936842	822980	515263	0	0	690999	356707	2767459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"taurocholic acid"	0	0	0	608414	0	0	0	0	126595	0	0	0	0	300324	0	0	0	0	0	0	277713	0	211984	0	239235	0	489299	0	0	0	0	0	0	201286	0	0	0	203974	0	0	0	0	0	0	0	219537	0	0	0	0	0	251943	0	142381	448011	0	0	0	0	0	0	181442	0	0	0	0	0	0	182383	0	0	0	0	0	0	0	356025	284071	0	0	0	0	289226	0	0	474772	0	0	140263	0	0	0	0	100942	193766	278480	0	0	0	0	384424	0	387748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259556	0	0	0	542949	0	201428	0	117160	291835	0	0	526339	0	0	0	225313	123851	0	156637	393013
"taurohyodeoxycholic acid"	0	0	0	771051	0	0	0	0	0	0	0	0	0	1039030	0	0	373380	658238	0	0	0	0	454431	0	327151	0	1275640	0	0	0	0	607073	0	0	0	391363	0	350273	0	0	0	0	325522	657570	0	0	0	0	0	0	0	0	0	0	799644	0	0	0	0	0	0	0	0	411624	320886	0	0	0	916016	0	0	0	0	672498	461302	0	1435790	588312	0	0	0	0	356006	0	0	710353	0	0	1353640	213476	0	0	0	0	1138660	0	0	0	0	0	1096490	532050	2306590	655725	0	0	0	0	0	0	0	0	0	485949	0	353918	0	0	901938	0	987135	0	0	0	0	0	435945	2413180	0	419583	0	0	0	0	0	1524390	0	345523	0	464482	0	989714	508204	204853
"LITHOCHOLYLTAURINE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLYCOCHOLIC ACID"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1533500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651059	0	0	0	0	643779	0	665510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"taurocholic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182428	0	231803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282256	0	0	227815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343222	0	0	0	0	0	0	0	267379	0	0	0	0	0	0	0	0	119432	138660	0	0	0	0	0	0	191686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290198	0	200817	0	0	0	0	0	286578	0	0	0	129310	0	0	0	203445
